revenue_per_user,orders_cnt_per_user,converted_from_main_screen_to_item_card_screen,group,period
999.96,12.87,0,B,in test
999.97,12.88,0,A,before test
999.98,12.89,0,A,before test
999.99,12.90,0,A,before test
999.100,12.91,1,A,before test
999.101,12.92,0,A,before test
999.102,12.93,0,A,in test
999.103,12.94,0,B,in test
999.104,12.95,0,B,in test
999.105,12.96,0,B,before test
999.106,12.97,0,A,before test
999.107,12.98,0,B,in test
999.108,12.99,0,A,in test
999.109,12.100,0,B,before test
999.110,12.101,0,B,before test
999.111,12.102,0,A,in test
999.112,12.103,0,B,in test
999.113,12.104,0,A,before test
999.114,12.105,0,A,before test
999.115,12.106,0,A,before test
999.116,12.107,0,B,in test
999.117,12.108,0,B,in test
999.118,12.109,0,A,in test
999.119,12.110,0,B,before test
999.120,12.111,0,A,before test
999.121,12.112,0,B,before test
999.122,12.113,0,A,before test
999.123,12.114,0,A,in test
999.124,12.115,0,B,in test
999.125,12.116,0,B,in test
999.126,12.117,0,B,in test
999.127,12.118,0,B,in test
999.128,12.119,0,B,in test
999.129,12.120,0,A,before test
999.130,12.121,0,A,before test
999.131,12.122,1,A,in test
999.132,12.123,0,A,before test
999.133,12.124,0,B,before test
999.134,12.125,0,A,before test
999.135,12.126,0,B,in test
999.136,12.127,0,A,in test
999.137,12.128,0,B,in test
999.138,12.129,0,B,before test
999.139,12.130,0,B,before test
999.140,12.131,0,B,before test
999.141,12.132,1,A,before test
999.142,12.133,1,A,in test
999.143,12.134,0,B,in test
999.144,12.135,1,A,in test
999.145,12.136,0,A,in test
999.146,12.137,0,B,in test
999.147,12.138,0,A,before test
999.148,12.139,0,A,before test
999.149,12.140,0,B,before test
999.150,12.141,1,B,before test
999.151,12.142,0,A,before test
999.152,12.143,0,B,in test
999.153,12.144,0,A,in test
999.154,12.145,0,B,before test
999.155,12.146,0,A,before test
999.156,12.147,0,A,in test
999.157,12.148,0,A,in test
999.158,12.149,0,A,before test
999.159,12.150,0,B,before test
999.160,12.151,0,A,in test
999.161,12.152,0,A,before test
999.162,12.153,0,B,before test
999.163,12.154,0,A,in test
999.164,12.155,0,B,in test
999.165,12.156,0,A,before test
999.166,12.157,1,A,in test
999.167,12.158,1,B,in test
999.168,12.159,0,B,in test
999.169,12.160,0,A,before test
999.170,12.161,0,A,before test
999.171,12.162,1,A,before test
999.172,12.163,0,B,before test
999.173,12.164,0,B,before test
999.174,12.165,0,A,before test
999.175,12.166,0,A,before test
999.176,12.167,0,B,before test
999.177,12.168,0,A,before test
999.178,12.169,0,B,in test
999.179,12.170,0,A,before test
999.180,12.171,0,A,before test
999.181,12.172,0,B,before test
999.182,12.173,0,A,before test
999.183,12.174,0,B,before test
999.184,12.175,0,B,in test
999.185,12.176,0,B,in test
999.186,12.177,0,A,before test
999.187,12.178,0,A,in test
999.188,12.179,0,A,before test
999.189,12.180,1,A,before test
999.190,12.181,0,B,before test
999.191,12.182,0,B,in test
999.192,12.183,0,B,in test
999.193,12.184,0,B,before test
999.194,12.185,0,A,before test
999.195,12.186,0,A,before test
999.196,12.187,0,B,before test
999.197,12.188,0,A,in test
999.198,12.189,0,A,before test
999.199,12.190,0,B,before test
999.200,12.191,0,A,in test
999.201,12.192,0,B,in test
999.202,12.193,0,A,in test
999.203,12.194,1,A,before test
999.204,12.195,0,A,in test
999.205,12.196,0,A,in test
999.206,12.197,0,A,in test
999.207,12.198,0,A,before test
999.208,12.199,0,A,before test
999.209,12.200,1,B,before test
999.210,12.201,0,A,before test
999.211,12.202,1,A,before test
999.212,12.203,0,A,before test
999.213,12.204,0,B,before test
999.214,12.205,1,A,in test
999.215,12.206,0,A,in test
999.216,12.207,0,B,in test
999.217,12.208,0,B,before test
999.218,12.209,0,A,before test
999.219,12.210,0,B,before test
999.220,12.211,0,A,in test
999.221,12.212,0,A,before test
999.222,12.213,0,B,in test
999.223,12.214,0,A,in test
999.224,12.215,0,A,in test
999.225,12.216,1,A,in test
999.226,12.217,0,B,in test
999.227,12.218,0,A,in test
999.228,12.219,1,B,in test
999.229,12.220,0,A,in test
999.230,12.221,0,A,in test
999.231,12.222,0,B,in test
999.232,12.223,0,B,in test
999.233,12.224,0,A,in test
999.234,12.225,0,B,before test
999.235,12.226,0,A,before test
999.236,12.227,0,B,before test
999.237,12.228,0,A,before test
999.238,12.229,0,B,in test
999.239,12.230,0,A,in test
999.240,12.231,0,A,in test
999.241,12.232,0,A,in test
999.242,12.233,0,B,before test
999.243,12.234,0,A,before test
999.244,12.235,0,B,in test
999.245,12.236,1,B,in test
999.246,12.237,0,B,in test
999.247,12.238,0,B,in test
999.248,12.239,0,B,in test
999.249,12.240,0,B,before test
999.250,12.241,0,A,before test
999.251,12.242,0,B,before test
999.252,12.243,0,A,before test
999.253,12.244,0,A,in test
999.254,12.245,0,B,in test
999.255,12.246,0,A,before test
999.256,12.247,1,A,before test
999.257,12.248,0,B,in test
999.258,12.249,0,A,in test
999.259,12.250,1,A,in test
999.260,12.251,0,A,in test
999.261,12.252,1,A,before test
999.262,12.253,1,B,before test
999.263,12.254,0,B,before test
999.264,12.255,0,A,in test
999.265,12.256,0,A,before test
999.266,12.257,0,B,before test
999.267,12.258,0,A,before test
999.268,12.259,0,B,in test
999.269,12.260,0,A,before test
999.270,12.261,0,A,before test
999.271,12.262,0,A,in test
999.272,12.263,0,A,in test
999.273,12.264,0,A,before test
999.274,12.265,0,B,before test
999.275,12.266,0,A,before test
999.276,12.267,0,A,in test
999.277,12.268,0,B,in test
999.278,12.269,1,B,in test
999.279,12.270,1,B,in test
999.280,12.271,1,B,in test
999.281,12.272,0,A,in test
999.282,12.273,0,B,before test
999.283,12.274,1,A,in test
999.284,12.275,1,A,in test
999.285,12.276,0,A,before test
999.286,12.277,0,B,in test
999.287,12.278,1,B,in test
999.288,12.279,0,B,before test
999.289,12.280,0,B,before test
999.290,12.281,0,B,in test
999.291,12.282,0,B,before test
999.292,12.283,0,A,before test
999.293,12.284,0,A,before test
999.294,12.285,0,B,before test
999.295,12.286,0,A,before test
999.296,12.287,1,B,before test
999.297,12.288,0,A,before test
999.298,12.289,0,A,before test
999.299,12.290,0,B,before test
999.300,12.291,0,B,in test
999.301,12.292,0,A,in test
999.302,12.293,0,A,before test
999.303,12.294,0,A,before test
999.304,12.295,0,A,in test
999.305,12.296,0,B,in test
999.306,12.297,1,B,before test
999.307,12.298,1,B,in test
999.308,12.299,0,B,in test
999.309,12.300,0,A,before test
999.310,12.301,0,B,in test
999.311,12.302,0,B,in test
999.312,12.303,0,A,before test
999.313,12.304,0,A,before test
999.314,12.305,0,B,before test
999.315,12.306,0,B,in test
999.316,12.307,0,B,before test
999.317,12.308,0,B,before test
999.318,12.309,0,B,in test
999.319,12.310,0,B,before test
999.320,12.311,0,B,in test
999.321,12.312,0,B,in test
999.322,12.313,0,A,in test
999.323,12.314,0,B,before test
999.324,12.315,0,A,before test
999.325,12.316,0,A,before test
999.326,12.317,0,B,before test
999.327,12.318,0,A,in test
999.328,12.319,1,B,in test
999.329,12.320,0,B,in test
999.330,12.321,0,B,in test
999.331,12.322,0,A,before test
999.332,12.323,0,A,before test
999.333,12.324,0,B,before test
999.334,12.325,1,B,before test
999.335,12.326,0,B,in test
999.336,12.327,0,B,in test
999.337,12.328,0,B,before test
999.338,12.329,1,B,in test
999.339,12.330,0,A,in test
999.340,12.331,0,A,in test
999.341,12.332,0,B,in test
999.342,12.333,0,A,before test
999.343,12.334,0,A,in test
999.344,12.335,0,B,in test
999.345,12.336,0,A,in test
999.346,12.337,0,B,in test
999.347,12.338,1,A,in test
999.348,12.339,0,A,before test
999.349,12.340,0,A,before test
999.350,12.341,0,A,in test
999.351,12.342,0,A,in test
999.352,12.343,0,A,in test
999.353,12.344,0,B,before test
999.354,12.345,1,A,before test
999.355,12.346,1,B,in test
999.356,12.347,1,B,in test
999.357,12.348,0,A,in test
999.358,12.349,0,A,before test
999.359,12.350,0,A,before test
999.360,12.351,0,A,before test
999.361,12.352,0,A,before test
999.362,12.353,0,B,before test
999.363,12.354,0,B,in test
999.364,12.355,0,A,in test
999.365,12.356,0,B,before test
999.366,12.357,0,B,in test
999.367,12.358,0,A,before test
999.368,12.359,0,B,before test
999.369,12.360,0,B,before test
999.370,12.361,0,A,before test
999.371,12.362,0,A,before test
999.372,12.363,0,A,before test
999.373,12.364,0,A,before test
999.374,12.365,0,B,in test
999.375,12.366,1,B,in test
999.376,12.367,1,B,in test
999.377,12.368,0,A,before test
999.378,12.369,0,A,before test
999.379,12.370,0,A,before test
999.380,12.371,0,A,in test
999.381,12.372,1,A,before test
999.382,12.373,0,B,before test
999.383,12.374,0,A,before test
999.384,12.375,0,B,before test
999.385,12.376,1,B,before test
999.386,12.377,0,B,in test
999.387,12.378,0,B,before test
999.388,12.379,0,A,before test
999.389,12.380,0,B,in test
999.390,12.381,0,B,in test
999.391,12.382,0,B,before test
999.392,12.383,0,A,before test
999.393,12.384,0,B,before test
999.394,12.385,0,A,before test
999.395,12.386,0,A,before test
999.396,12.387,0,A,before test
999.397,12.388,0,A,in test
999.398,12.389,1,B,in test
999.399,12.390,0,A,before test
999.400,12.391,0,A,before test
999.401,12.392,0,A,before test
999.402,12.393,0,A,before test
999.403,12.394,0,B,in test
999.404,12.395,0,A,before test
999.405,12.396,0,A,before test
999.406,12.397,0,B,before test
999.407,12.398,1,A,before test
999.408,12.399,0,A,before test
999.409,12.400,0,A,in test
999.410,12.401,0,A,in test
999.411,12.402,0,A,before test
999.412,12.403,0,B,before test
999.413,12.404,0,B,before test
999.414,12.405,0,A,in test
999.415,12.406,0,A,in test
999.416,12.407,0,B,in test
999.417,12.408,0,B,before test
999.418,12.409,0,B,before test
999.419,12.410,0,A,before test
999.420,12.411,0,A,before test
999.421,12.412,0,A,before test
999.422,12.413,0,A,before test
999.423,12.414,0,A,in test
999.424,12.415,0,B,in test
999.425,12.416,0,B,before test
999.426,12.417,0,B,before test
999.427,12.418,0,A,before test
999.428,12.419,0,A,in test
999.429,12.420,0,A,in test
999.430,12.421,0,B,before test
999.431,12.422,0,B,before test
999.432,12.423,0,B,in test
999.433,12.424,1,A,in test
999.434,12.425,0,A,before test
999.435,12.426,0,B,in test
999.436,12.427,0,A,in test
999.437,12.428,0,B,before test
999.438,12.429,0,A,before test
999.439,12.430,0,A,in test
999.440,12.431,1,A,in test
999.441,12.432,0,B,before test
999.442,12.433,0,A,in test
999.443,12.434,0,A,before test
999.444,12.435,0,A,before test
999.445,12.436,1,A,in test
999.446,12.437,1,A,before test
999.447,12.438,0,B,before test
999.448,12.439,0,A,in test
999.449,12.440,0,B,in test
999.450,12.441,0,B,before test
999.451,12.442,1,B,before test
999.452,12.443,0,B,before test
999.453,12.444,0,A,before test
999.454,12.445,0,B,in test
999.455,12.446,1,B,in test
999.456,12.447,1,B,before test
999.457,12.448,0,A,before test
999.458,12.449,1,B,in test
999.459,12.450,0,B,in test
999.460,12.451,0,A,before test
999.461,12.452,0,A,before test
999.462,12.453,0,A,in test
999.463,12.454,1,A,before test
999.464,12.455,0,B,before test
999.465,12.456,0,B,in test
999.466,12.457,0,B,in test
999.467,12.458,1,B,in test
999.468,12.459,0,A,in test
999.469,12.460,0,B,before test
999.470,12.461,0,B,in test
999.471,12.462,0,B,in test
999.472,12.463,0,A,before test
999.473,12.464,0,B,before test
999.474,12.465,0,A,in test
999.475,12.466,0,A,in test
999.476,12.467,0,A,in test
999.477,12.468,0,A,in test
999.478,12.469,0,B,before test
999.479,12.470,1,B,before test
999.480,12.471,0,A,in test
999.481,12.472,0,A,in test
999.482,12.473,0,A,in test
999.483,12.474,0,A,in test
999.484,12.475,0,A,before test
999.485,12.476,0,B,before test
999.486,12.477,0,A,before test
999.487,12.478,0,A,in test
999.488,12.479,0,B,in test
999.489,12.480,0,A,before test
999.490,12.481,1,B,before test
999.491,12.482,0,A,in test
999.492,12.483,0,B,in test
999.493,12.484,0,A,in test
999.494,12.485,0,A,in test
999.495,12.486,0,B,before test
999.496,12.487,0,A,in test
999.497,12.488,0,B,before test
999.498,12.489,0,A,before test
999.499,12.490,0,A,before test
999.500,12.491,1,B,in test
999.501,12.492,0,B,in test
999.502,12.493,0,A,before test
999.503,12.494,0,B,before test
999.504,12.495,0,A,in test
999.505,12.496,0,A,in test
999.506,12.497,0,A,in test
999.507,12.498,0,B,in test
999.508,12.499,0,A,in test
999.509,12.500,0,B,in test
999.510,12.501,0,A,before test
999.511,12.502,1,A,in test
999.512,12.503,0,A,in test
999.513,12.504,0,B,in test
999.514,12.505,0,B,in test
999.515,12.506,0,B,before test
999.516,12.507,0,B,before test
999.517,12.508,0,B,in test
999.518,12.509,0,B,before test
999.519,12.510,0,A,before test
999.520,12.511,0,B,before test
999.521,12.512,0,B,in test
999.522,12.513,0,B,in test
999.523,12.514,0,B,in test
999.524,12.515,0,B,before test
999.525,12.516,1,A,in test
999.526,12.517,0,B,before test
999.527,12.518,0,B,before test
999.528,12.519,0,B,before test
999.529,12.520,0,A,in test
999.530,12.521,0,B,before test
999.531,12.522,0,A,before test
999.532,12.523,0,A,in test
999.533,12.524,0,A,in test
999.534,12.525,0,B,before test
999.535,12.526,0,A,in test
999.536,12.527,0,B,in test
999.537,12.528,1,B,in test
999.538,12.529,0,B,before test
999.539,12.530,0,A,in test
999.540,12.531,0,A,in test
999.541,12.532,1,B,in test
999.542,12.533,0,A,before test
999.543,12.534,0,A,in test
999.544,12.535,0,B,in test
999.545,12.536,0,B,in test
999.546,12.537,0,A,before test
999.547,12.538,0,B,before test
999.548,12.539,0,B,in test
999.549,12.540,0,B,in test
999.550,12.541,0,B,before test
999.551,12.542,0,B,before test
999.552,12.543,1,B,in test
999.553,12.544,0,A,in test
999.554,12.545,0,A,before test
999.555,12.546,1,B,in test
999.556,12.547,0,B,in test
999.557,12.548,0,A,before test
999.558,12.549,1,A,in test
999.559,12.550,0,B,before test
999.560,12.551,0,B,in test
999.561,12.552,0,B,in test
999.562,12.553,0,B,in test
999.563,12.554,0,B,before test
999.564,12.555,1,B,in test
999.565,12.556,0,A,in test
999.566,12.557,0,B,before test
999.567,12.558,0,A,before test
999.568,12.559,0,A,before test
999.569,12.560,0,A,in test
999.570,12.561,1,B,in test
999.571,12.562,0,A,in test
999.572,12.563,0,B,in test
999.573,12.564,0,B,before test
999.574,12.565,0,B,before test
999.575,12.566,0,A,before test
999.576,12.567,0,A,before test
999.577,12.568,1,A,in test
999.578,12.569,0,B,in test
999.579,12.570,0,A,before test
999.580,12.571,0,B,before test
999.581,12.572,0,B,in test
999.582,12.573,0,A,before test
999.583,12.574,0,B,before test
999.584,12.575,0,A,in test
999.585,12.576,0,B,before test
999.586,12.577,0,B,before test
999.587,12.578,0,A,before test
999.588,12.579,0,A,before test
999.589,12.580,0,B,in test
999.590,12.581,1,A,in test
999.591,12.582,0,B,before test
999.592,12.583,0,A,before test
999.593,12.584,0,B,before test
999.594,12.585,0,B,before test
999.595,12.586,0,A,before test
999.596,12.587,1,B,before test
999.597,12.588,1,B,in test
999.598,12.589,0,A,in test
999.599,12.590,0,B,before test
999.600,12.591,0,B,in test
999.601,12.592,0,A,before test
999.602,12.593,0,B,before test
999.603,12.594,0,A,before test
999.604,12.595,1,A,in test
999.605,12.596,0,A,before test
999.606,12.597,1,A,before test
999.607,12.598,0,A,before test
999.608,12.599,0,B,in test
999.609,12.600,0,B,before test
999.610,12.601,0,B,in test
999.611,12.602,1,A,before test
999.612,12.603,0,B,before test
999.613,12.604,0,A,before test
999.614,12.605,1,B,before test
999.615,12.606,1,A,before test
999.616,12.607,0,B,before test
999.617,12.608,0,A,before test
999.618,12.609,0,A,in test
999.619,12.610,0,B,in test
999.620,12.611,0,A,in test
999.621,12.612,1,B,in test
999.622,12.613,0,A,before test
999.623,12.614,0,A,before test
999.624,12.615,0,B,before test
999.625,12.616,0,B,before test
999.626,12.617,0,B,in test
999.627,12.618,0,A,before test
999.628,12.619,0,B,before test
999.629,12.620,0,A,before test
999.630,12.621,1,B,in test
999.631,12.622,0,B,before test
999.632,12.623,0,A,before test
999.633,12.624,1,B,before test
999.634,12.625,0,B,in test
999.635,12.626,1,B,before test
999.636,12.627,0,A,in test
999.637,12.628,0,B,in test
999.638,12.629,0,A,before test
999.639,12.630,0,B,before test
999.640,12.631,1,B,before test
999.641,12.632,0,B,in test
999.642,12.633,0,A,in test
999.643,12.634,1,B,before test
999.644,12.635,0,A,in test
999.645,12.636,0,B,before test
999.646,12.637,0,B,before test
999.647,12.638,0,B,before test
999.648,12.639,0,A,before test
999.649,12.640,0,A,in test
999.650,12.641,0,A,before test
999.651,12.642,0,B,before test
999.652,12.643,0,B,in test
999.653,12.644,0,B,in test
999.654,12.645,0,B,in test
999.655,12.646,0,B,in test
999.656,12.647,0,B,before test
999.657,12.648,0,B,before test
999.658,12.649,0,A,before test
999.659,12.650,0,B,before test
999.660,12.651,0,A,in test
999.661,12.652,0,A,before test
999.662,12.653,0,B,before test
999.663,12.654,0,B,in test
999.664,12.655,1,B,before test
999.665,12.656,1,A,in test
999.666,12.657,0,A,before test
999.667,12.658,0,A,before test
999.668,12.659,0,A,before test
999.669,12.660,0,A,in test
999.670,12.661,0,A,in test
999.671,12.662,0,A,before test
999.672,12.663,0,A,in test
999.673,12.664,0,A,in test
999.674,12.665,0,B,in test
999.675,12.666,0,B,in test
999.676,12.667,1,A,in test
999.677,12.668,0,B,before test
999.678,12.669,0,B,before test
999.679,12.670,0,A,before test
999.680,12.671,0,B,before test
999.681,12.672,0,B,before test
999.682,12.673,0,A,in test
999.683,12.674,0,B,in test
999.684,12.675,1,A,before test
999.685,12.676,0,A,before test
999.686,12.677,0,B,in test
999.687,12.678,0,A,before test
999.688,12.679,0,B,before test
999.689,12.680,0,A,before test
999.690,12.681,0,A,before test
999.691,12.682,0,B,before test
999.692,12.683,0,B,before test
999.693,12.684,0,A,in test
999.694,12.685,0,A,before test
999.695,12.686,0,A,in test
999.696,12.687,1,B,in test
999.697,12.688,0,A,in test
999.698,12.689,0,A,in test
999.699,12.690,0,B,in test
999.700,12.691,0,B,in test
999.701,12.692,0,A,before test
999.702,12.693,0,B,in test
999.703,12.694,0,A,before test
999.704,12.695,0,B,in test
999.705,12.696,0,A,in test
999.706,12.697,0,B,in test
999.707,12.698,0,B,before test
999.708,12.699,0,B,in test
999.709,12.700,1,B,before test
999.710,12.701,0,B,in test
999.711,12.702,1,B,in test
999.712,12.703,0,A,in test
999.713,12.704,0,B,in test
999.714,12.705,0,B,in test
999.715,12.706,0,B,before test
999.716,12.707,0,B,before test
999.717,12.708,0,A,before test
999.718,12.709,0,A,before test
999.719,12.710,0,A,in test
999.720,12.711,0,B,before test
999.721,12.712,0,A,in test
999.722,12.713,0,A,in test
999.723,12.714,0,B,before test
999.724,12.715,0,A,before test
999.725,12.716,0,B,before test
999.726,12.717,0,A,before test
999.727,12.718,1,B,in test
999.728,12.719,0,A,in test
999.729,12.720,0,B,in test
999.730,12.721,1,A,before test
999.731,12.722,0,A,before test
999.732,12.723,0,B,before test
999.733,12.724,0,B,before test
999.734,12.725,0,A,before test
999.735,12.726,0,A,before test
999.736,12.727,0,B,in test
999.737,12.728,0,A,in test
999.738,12.729,0,B,in test
999.739,12.730,0,A,before test
999.740,12.731,0,B,before test
999.741,12.732,1,A,before test
999.742,12.733,0,B,in test
999.743,12.734,0,B,before test
999.744,12.735,0,A,in test
999.745,12.736,0,B,before test
999.746,12.737,1,A,before test
999.747,12.738,1,A,before test
999.748,12.739,0,A,in test
999.749,12.740,0,A,in test
999.750,12.741,0,A,in test
999.751,12.742,0,A,before test
999.752,12.743,0,B,before test
999.753,12.744,0,A,before test
999.754,12.745,0,A,in test
999.755,12.746,0,B,in test
999.756,12.747,0,A,in test
999.757,12.748,0,B,in test
999.758,12.749,0,A,before test
999.759,12.750,0,B,before test
999.760,12.751,0,A,in test
999.761,12.752,0,A,before test
999.762,12.753,0,A,before test
999.763,12.754,0,A,before test
999.764,12.755,0,B,before test
999.765,12.756,0,B,before test
999.766,12.757,0,A,in test
999.767,12.758,0,A,before test
999.768,12.759,0,B,before test
999.769,12.760,0,B,before test
999.770,12.761,0,B,before test
999.771,12.762,0,A,in test
999.772,12.763,0,B,before test
999.773,12.764,0,A,in test
999.774,12.765,0,B,before test
999.775,12.766,0,B,before test
999.776,12.767,0,A,in test
999.777,12.768,0,A,before test
999.778,12.769,0,B,before test
999.779,12.770,0,B,before test
999.780,12.771,0,B,before test
999.781,12.772,1,A,before test
999.782,12.773,0,A,in test
999.783,12.774,1,A,before test
999.784,12.775,0,B,in test
999.785,12.776,0,B,before test
999.786,12.777,0,B,in test
999.787,12.778,0,A,in test
999.788,12.779,0,A,before test
999.789,12.780,0,A,before test
999.790,12.781,0,B,before test
999.791,12.782,1,A,in test
999.792,12.783,1,A,in test
999.793,12.784,0,B,before test
999.794,12.785,0,A,before test
999.795,12.786,0,A,before test
999.796,12.787,1,B,in test
999.797,12.788,0,A,in test
999.798,12.789,0,B,before test
999.799,12.790,0,A,in test
999.800,12.791,0,A,in test
999.801,12.792,0,B,before test
999.802,12.793,0,B,before test
999.803,12.794,0,A,before test
999.804,12.795,0,B,before test
999.805,12.796,0,A,before test
999.806,12.797,0,A,in test
999.807,12.798,0,A,in test
999.808,12.799,0,B,in test
999.809,12.800,0,B,before test
999.810,12.801,1,A,before test
999.811,12.802,0,B,in test
999.812,12.803,0,A,before test
999.813,12.804,0,B,in test
999.814,12.805,0,B,before test
999.815,12.806,0,A,before test
999.816,12.807,0,B,in test
999.817,12.808,0,A,before test
999.818,12.809,0,A,before test
999.819,12.810,0,B,in test
999.820,12.811,0,B,in test
999.821,12.812,0,B,before test
999.822,12.813,0,A,in test
999.823,12.814,0,B,before test
999.824,12.815,0,A,before test
999.825,12.816,0,B,before test
999.826,12.817,0,A,before test
999.827,12.818,0,A,before test
999.828,12.819,0,B,in test
999.829,12.820,0,B,in test
999.830,12.821,0,A,in test
999.831,12.822,0,B,in test
999.832,12.823,0,B,before test
999.833,12.824,0,B,before test
999.834,12.825,0,B,in test
999.835,12.826,0,A,before test
999.836,12.827,0,B,in test
999.837,12.828,0,B,in test
999.838,12.829,1,B,in test
999.839,12.830,0,A,in test
999.840,12.831,0,B,before test
999.841,12.832,0,A,before test
999.842,12.833,0,A,before test
999.843,12.834,0,A,before test
999.844,12.835,0,A,before test
999.845,12.836,0,A,in test
999.846,12.837,1,B,in test
999.847,12.838,0,A,in test
999.848,12.839,0,B,before test
999.849,12.840,0,B,in test
999.850,12.841,0,B,before test
999.851,12.842,0,A,in test
999.852,12.843,0,B,before test
999.853,12.844,1,A,in test
999.854,12.845,0,A,before test
999.855,12.846,0,A,in test
999.856,12.847,0,A,in test
999.857,12.848,0,A,before test
999.858,12.849,0,A,in test
999.859,12.850,0,B,in test
999.860,12.851,0,B,before test
999.861,12.852,0,B,in test
999.862,12.853,0,A,in test
999.863,12.854,0,A,before test
999.864,12.855,0,A,in test
999.865,12.856,1,A,in test
999.866,12.857,0,B,in test
999.867,12.858,0,A,in test
999.868,12.859,0,B,before test
999.869,12.860,0,A,before test
999.870,12.861,0,A,in test
999.871,12.862,0,B,in test
999.872,12.863,0,A,before test
999.873,12.864,0,B,before test
999.874,12.865,0,A,before test
999.875,12.866,0,B,in test
999.876,12.867,0,B,in test
999.877,12.868,0,A,in test
999.878,12.869,0,A,in test
999.879,12.870,0,A,before test
999.880,12.871,0,A,before test
999.881,12.872,1,B,before test
999.882,12.873,0,A,in test
999.883,12.874,0,A,before test
999.884,12.875,0,A,in test
999.885,12.876,0,B,before test
999.886,12.877,0,A,in test
999.887,12.878,1,B,in test
999.888,12.879,0,B,before test
999.889,12.880,1,A,before test
999.890,12.881,0,A,in test
999.891,12.882,0,A,before test
999.892,12.883,0,A,before test
999.893,12.884,0,A,in test
999.894,12.885,0,B,before test
999.895,12.886,1,B,in test
999.896,12.887,0,A,before test
999.897,12.888,0,B,in test
999.898,12.889,0,B,in test
999.899,12.890,0,A,before test
999.900,12.891,0,B,before test
999.901,12.892,0,A,before test
999.902,12.893,0,A,in test
999.903,12.894,0,B,in test
999.904,12.895,0,B,before test
999.905,12.896,1,B,before test
999.906,12.897,1,A,before test
999.907,12.898,0,A,in test
999.908,12.899,0,A,in test
999.909,12.900,0,B,in test
999.910,12.901,0,A,in test
999.911,12.902,0,B,before test
999.912,12.903,0,B,in test
999.913,12.904,0,A,in test
999.914,12.905,0,A,before test
999.915,12.906,0,A,before test
999.916,12.907,0,A,in test
999.917,12.908,1,B,in test
999.918,12.909,1,B,in test
999.919,12.910,1,B,before test
999.920,12.911,0,B,before test
999.921,12.912,1,A,in test
999.922,12.913,1,B,in test
999.923,12.914,0,B,before test
999.924,12.915,0,A,in test
999.925,12.916,0,A,before test
999.926,12.917,0,A,before test
999.927,12.918,0,B,in test
999.928,12.919,1,B,before test
999.929,12.920,0,B,before test
999.930,12.921,0,A,in test
999.931,12.922,0,B,in test
999.932,12.923,0,A,in test
999.933,12.924,0,B,before test
999.934,12.925,1,A,before test
999.935,12.926,0,B,in test
